accession	agricola_id	altitude	base_count	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	dataclass	description	dev_stage	doi	doi_url	ecotype	environmental_sample	first_public	germline	haplotype	host	identified_by	isolate	isolation_source	keywords	lab_host	last_updated	location	mating_type	metagenome_source	mol_type	organelle	patent_number	plasmid	pubmed_id	pubmed_url	sample_accession	scientific_name	sequence_md5	sequence_version	serotype	serovar	sex	specimen_voucher	strain	study_accession	sub_species	sub_strain	submitted_sex	tax_division	tax_id	tissue_lib	tissue_type	topology	variety
BS001027			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner356/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner356/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	0666904cfc39b08f58ac1a5654d30ade	1										VRL	2697049			LINEAR	
BS001028			29776					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner357/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner357/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	2fab3f00d7189de53eac84afa4214c0e	1										VRL	2697049			LINEAR	
BS001029			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner358/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner358/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	5672fe4fec9150a4de296384134c3c3d	1										VRL	2697049			LINEAR	
BS001030			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner359/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner359/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ea16a590b49b3f99f15838cc0fa7749a	1										VRL	2697049			LINEAR	
BS001031			29781					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner360/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner360/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d1b54d9565c698ecb142782512762f83	1										VRL	2697049			LINEAR	
BS001032			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner361/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner361/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	7a16d68e513398dfbf3152116ca9cda3	1										VRL	2697049			LINEAR	
BS001033			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner362/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner362/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	5d93f9aeb3d1a4d12d964a6a9625fa6c	1										VRL	2697049			LINEAR	
BS001034			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner363/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner363/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	10e4fd368726a97a137c2cb126c31fef	1										VRL	2697049			LINEAR	
BS001035			29763					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner364/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner364/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d98b7697c6fbf54c6acc7e82c18b4915	1										VRL	2697049			LINEAR	
BS001036			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner365/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner365/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	04b9058a29022f083a9b49f58c46c7b8	1										VRL	2697049			LINEAR	
BS001037			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner366/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner366/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	401eed33b907d3ba995b9992a943c36e	1										VRL	2697049			LINEAR	
BS001038			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner367/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner367/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	fd54c179a6079c245967bd6b664c193b	1										VRL	2697049			LINEAR	
BS001039			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner368/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner368/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	8d75e16dcde9040c8680c83116043919	1										VRL	2697049			LINEAR	
BS001040			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner369/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner369/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	961a7478f654165b4c8f9102dfc0e98b	1										VRL	2697049			LINEAR	
BS001041			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner370/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner370/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	0dab4bf8b6a201e96b6eb7950e7a1d7a	1										VRL	2697049			LINEAR	
BS001042			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner371/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner371/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	6092a915278e8fad3b353b9324a9c2d5	1										VRL	2697049			LINEAR	
BS001043			29763					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner372/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner372/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ba30f45b658293edc63054dce4aad9fc	1										VRL	2697049			LINEAR	
BS001044			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner373/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner373/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	cfcbd5a35a7b6e8e994441bfcd717dac	1										VRL	2697049			LINEAR	
BS001045			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner374/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner374/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	e76c4a5933355a2acdd01269233288c3	1										VRL	2697049			LINEAR	
BS001046			29782					2020-12-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner375/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner375/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	e76c4a5933355a2acdd01269233288c3	1										VRL	2697049			LINEAR	
BS001047			29778					2020-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner376/2020 RNA, partial genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner376/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ea13920750c89ebb59ebe2324ab1bb00	1										VRL	2697049			LINEAR	
BS001048			29781					2020-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner379/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner379/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	bc92902b1238206a39cf2f47c30c472b	1										VRL	2697049			LINEAR	
BS001049			29781					2020-02-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner380/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner380/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	96d6ccd4f395c7c0e0c704187606071e	1										VRL	2697049			LINEAR	
BS001050			29781					2020-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner381/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner381/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	98d827ff1b6896721eeb2724adcd8ffb	1										VRL	2697049			LINEAR	
BS001051			29781					2020-02-24	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner382/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner382/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	96d6ccd4f395c7c0e0c704187606071e	1										VRL	2697049			LINEAR	
BS001052			29782					2021-02-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner384/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner384/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	e300cc461e07f37bfa7188a877997105	1										VRL	2697049			LINEAR	
BS001053			29782					2020-12-08	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner385/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner385/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	801660549fabfedfd4ecc814bd23145c	1										VRL	2697049			LINEAR	
BS001054			29782					2020-12-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner386/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner386/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	494e633e9bc1fc4c280980c9ceb520d2	1										VRL	2697049			LINEAR	
BS001055			29782					2021-01-13	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner387/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner387/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ae654619a4823b301ec809bfaa6d40be	1										VRL	2697049			LINEAR	
BS001056			29782					2021-01-10	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner388/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner388/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	dc36848d857c0d080573fef2e8fc1d06	1										VRL	2697049			LINEAR	
BS001057			29781					2021-01-21	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner390/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner390/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	e878de0a825b45822cfa56073f40d0d1	1										VRL	2697049			LINEAR	
BS001058			29782					2021-01-24	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner391/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner391/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d1a111dbb0ce6d3f1420e267da5d6999	1										VRL	2697049			LINEAR	
BS001059			29763					2021-01-31	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner392/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner392/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	e91747d08ccb0453e6cf0479831b3fa6	1										VRL	2697049			LINEAR	
BS001060			29782					2021-01-29	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner393/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner393/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	527cb8b960b850eaa2eb39f5f35a1663	1										VRL	2697049			LINEAR	
BS001061			29782					2021-01-22	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner394/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner394/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	5f14c983543c23b57145bf1197ab91ae	1										VRL	2697049			LINEAR	
BS001062			29782					2021-02-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner395/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner395/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	82b52e6e217d46c447f2af1875f48c12	1										VRL	2697049			LINEAR	
BS001063			29782					2021-01-30	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner396/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner396/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	35c61262fcc8a2b039d0a8c41af6da99	1										VRL	2697049			LINEAR	
BS001064			29782					2021-01-26	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner397/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner397/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	02d627af31de783cf8f41788116fec66	1										VRL	2697049			LINEAR	
BS001065			29782					2021-01-28	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner398/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner398/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	dea0dd4fe91ec94fd962b32338f29dbf	1										VRL	2697049			LINEAR	
BS001066			29782					2021-01-30	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner399/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner399/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d997f63e907c114eea9edbb1d7622026	1										VRL	2697049			LINEAR	
BS001067			29782					2021-02-03	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner400/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner400/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	140b18133867c367105bff5642d8a0f3	1										VRL	2697049			LINEAR	
BS001068			29782					2021-01-25	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner401/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner401/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d7d2c1e79aa59318aa9ccc3cbf7997cc	1										VRL	2697049			LINEAR	
BS001069			29782					2021-02-03	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner402/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner402/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	205b71cdc5c23c74b0639bae896af685	1										VRL	2697049			LINEAR	
BS001070			29763					2021-02-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner403/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner403/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d18a1abe6f8780e5356d6f55144bf8f5	1										VRL	2697049			LINEAR	
BS001071			29782					2021-02-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner405/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner405/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	5253022bfd35ce48ca9ca9c6b91d555a	1										VRL	2697049			LINEAR	
BS001072			29782					2021-02-10	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner406/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner406/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	df8f61a2798c6344e6722dbf91d270ab	1										VRL	2697049			LINEAR	
BS001073			29781					2021-02-05	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner408/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner408/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	c894277f07fc57be06a9d9c66e1e7734	1										VRL	2697049			LINEAR	
BS001074			29782					2021-02-02	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner409/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner409/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	85fcca998762d941581035f18a47a3cf	1										VRL	2697049			LINEAR	
BS001075			29782					2021-02-11	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner410/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner410/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ee2da2e283e7de740324e1f5fe962442	1										VRL	2697049			LINEAR	
BS001076			29782					2021-02-12	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner411/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner411/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ee2da2e283e7de740324e1f5fe962442	1										VRL	2697049			LINEAR	
BS001077			29782					2021-02-11	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner412/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner412/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	4b57b862005d6eb017ead3c6c0feb3fb	1										VRL	2697049			LINEAR	
BS001078			29782					2021-02-14	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner413/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner413/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	a0195444e676441ca22cdafcec48aebb	1										VRL	2697049			LINEAR	
BS001079			29763					2021-02-05	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner414/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner414/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	eac96f3b7756460de6fa8be70f627617	1										VRL	2697049			LINEAR	
BS001080			29782					2020-11-27	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner416/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner416/2020	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	f88f1d403ae7ff692614f2e27050dc22	1										VRL	2697049			LINEAR	
BS001081			29782					2021-02-16	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner417/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner417/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	08f74fd2beb4090cb421ebd2d7d6430f	1										VRL	2697049			LINEAR	
BS001082			29763					2021-02-13	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner418/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner418/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	248542a001904c160303a131625d0f5b	1										VRL	2697049			LINEAR	
BS001083			29782					2021-02-22	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner419/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner419/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	1d6063a821d8158b09acada9f80e39de	1										VRL	2697049			LINEAR	
BS001084			29781					2021-02-25	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner421/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner421/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d05fe5fed1fd9a3d35e34fe727495d86	1										VRL	2697049			LINEAR	
BS001085			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner423/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner423/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	25a2c92945ccc978a2fc9c4b61260577	1										VRL	2697049			LINEAR	
BS001086			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner424/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner424/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	1442c4421c5f315ea6341cd5eee36397	1										VRL	2697049			LINEAR	
BS001087			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner425/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner425/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	039eeeb4c6a30e552aa4a73ea4580802	1										VRL	2697049			LINEAR	
BS001088			29781					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner426/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner426/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	99f17edf84b9f0f2dad2e5066670435f	1										VRL	2697049			LINEAR	
BS001089			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner427/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner427/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	40d9b64d74c5ece64811cdab5ec63a0c	1										VRL	2697049			LINEAR	
BS001090			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner428/2021 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner428/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	492e59346660eaf1591e11f7635768df	1										VRL	2697049			LINEAR	
BS001091			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner429/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner429/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	6f61e0c1e674cac0222e8192405a53c9	1										VRL	2697049			LINEAR	
BS001092			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner430/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner430/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	05497dad99ab082a23c39a3632a8830f	1										VRL	2697049			LINEAR	
BS001093			29781					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner431/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner431/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	73166105ada273566b51f83febdec17e	1										VRL	2697049			LINEAR	
BS001094			29782					2021-02-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner432/2021 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner432/2021	pharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	45536b148d4ba19445750c6bd6cd0aed	1										VRL	2697049			LINEAR	
